coin,date,sc,state_final,armed_t,failed_t,hit_t
BTC,2022-08-01,2,failed,1.6593633e+18,1.6593732e+18,
BTC,2022-08-02,1,hit,1.6594506e+18,,1.6594578e+18
BTC,2022-08-02,2,failed,1.6594461e+18,1.6594506e+18,
BTC,2022-08-03,1,hit,1.6595478e+18,,1.6595487e+18
BTC,2022-08-03,2,failed,1.6595325e+18,1.6595478e+18,
BTC,2022-08-04,1,failed,1.6596279e+18,1.6596288e+18,
BTC,2022-08-04,2,failed,1.6596189e+18,1.6596324e+18,
BTC,2022-08-05,1,hit,1.6597053e+18,,1.6597062e+18
BTC,2022-08-05,2,pending,,,
BTC,2022-08-08,1,hit,1.6599699e+18,,1.6599717e+18
BTC,2022-08-09,1,pending,,,
BTC,2022-08-09,2,hit,1.6600536e+18,,1.6600545e+18
BTC,2022-08-10,1,hit,1.6601373e+18,,1.6601382e+18
BTC,2022-08-10,2,pending,,,
BTC,2022-08-11,1,pending,,,
BTC,2022-08-11,2,hit,1.6602237e+18,,1.6602273e+18
BTC,2022-08-12,1,hit,1.6603101e+18,,1.6603182e+18
BTC,2022-08-12,2,pending,,,
BTC,2022-08-15,1,pending,,,
BTC,2022-08-15,2,armed,1.660572e+18,,
BTC,2022-08-16,1,hit,1.6606557e+18,,1.6606611e+18
BTC,2022-08-16,2,pending,,,
BTC,2022-08-17,1,pending,,,
BTC,2022-08-17,2,hit,1.6607421e+18,,1.660743e+18
BTC,2022-08-18,1,pending,,,
BTC,2022-08-18,2,hit,1.6608312e+18,,1.6608402e+18
BTC,2022-08-19,1,pending,,,
BTC,2022-08-19,2,failed,1.6609149e+18,1.6609176e+18,
BTC,2022-08-22,1,pending,,,
BTC,2022-08-22,2,failed,1.661175e+18,1.6611759e+18,
BTC,2022-08-23,1,hit,1.6612632e+18,,1.6612641e+18
BTC,2022-08-23,2,failed,1.6612605e+18,1.6612632e+18,
BTC,2022-08-24,1,hit,1.6613541e+18,,1.6613568e+18
BTC,2022-08-24,2,pending,,,
BTC,2022-08-25,1,armed,1.6614333e+18,,
BTC,2022-08-25,2,pending,,,
BTC,2022-08-26,1,hit,1.6615269e+18,,1.6615314e+18
BTC,2022-08-26,2,hit,1.6615197e+18,,1.6615206e+18
BTC,2022-08-29,1,hit,1.6617807e+18,,1.6617825e+18
BTC,2022-08-29,2,pending,,,
BTC,2022-08-30,1,pending,,,
BTC,2022-08-30,2,hit,1.6618653e+18,,1.661868e+18
BTC,2022-08-31,1,pending,,,
BTC,2022-08-31,2,armed,1.6619562e+18,,
BTC,2022-09-01,1,pending,,,
BTC,2022-09-01,2,hit,1.6620381e+18,,1.6620444e+18
BTC,2022-09-02,1,armed,1.6621398e+18,,
BTC,2022-09-02,2,hit,1.6621245e+18,,1.6621254e+18
BTC,2022-09-05,1,pending,,,
BTC,2022-09-05,2,pending,,,
BTC,2022-09-06,1,pending,,,
BTC,2022-09-06,2,hit,1.6624701e+18,,1.6624728e+18
BTC,2022-09-07,1,armed,1.6625565e+18,,
BTC,2022-09-07,2,pending,,,
BTC,2022-09-08,1,hit,1.6626429e+18,,1.6626438e+18
BTC,2022-09-08,2,pending,,,
BTC,2022-09-09,1,pending,,,
BTC,2022-09-09,2,hit,1.6627374e+18,,1.662741e+18
BTC,2022-09-12,1,armed,1.6629957e+18,,
BTC,2022-09-12,2,pending,,,
BTC,2022-09-13,1,hit,1.6630749e+18,,1.6630758e+18
BTC,2022-09-13,2,pending,,,
BTC,2022-09-14,1,pending,,,
BTC,2022-09-14,2,hit,1.6631658e+18,,1.663173e+18
BTC,2022-09-15,1,hit,1.6632486e+18,,1.6632531e+18
BTC,2022-09-15,2,pending,,,
BTC,2022-09-16,1,pending,,,
BTC,2022-09-16,2,hit,1.6633359e+18,,1.6633368e+18
BTC,2022-09-19,1,hit,1.6635933e+18,,1.6635969e+18
BTC,2022-09-20,1,hit,1.6636797e+18,,1.6636806e+18
BTC,2022-09-20,2,pending,,,
BTC,2022-09-21,1,hit,1.6637661e+18,,1.663767e+18
BTC,2022-09-21,2,pending,,,
BTC,2022-09-22,1,pending,,,
BTC,2022-09-22,2,armed,1.6638525e+18,,
BTC,2022-09-23,1,failed,1.6639389e+18,1.6639416e+18,
BTC,2022-09-23,2,armed,1.6639416e+18,,
BTC,2022-09-26,1,hit,1.6641981e+18,,1.6642008e+18
BTC,2022-09-26,2,pending,,,
BTC,2022-09-27,1,pending,,,
BTC,2022-09-27,2,hit,1.6642845e+18,,1.6642953e+18
BTC,2022-09-28,1,pending,,,
BTC,2022-09-28,2,hit,1.6643709e+18,,1.6643718e+18
BTC,2022-09-29,1,hit,1.6644573e+18,,1.6644591e+18
BTC,2022-09-29,2,failed,1.6644699e+18,1.6644744e+18,
BTC,2022-09-30,1,hit,1.6645482e+18,,1.6645491e+18
BTC,2022-09-30,2,hit,1.6645437e+18,,1.6645446e+18
BTC,2022-10-03,1,hit,1.6648074e+18,,1.6648083e+18
BTC,2022-10-03,2,failed,1.6648047e+18,1.6648074e+18,
BTC,2022-10-04,1,pending,,,
BTC,2022-10-04,2,failed,1.6648929e+18,1.6648974e+18,
BTC,2022-10-05,1,hit,1.6649757e+18,,1.6649766e+18
BTC,2022-10-05,2,pending,,,
BTC,2022-10-06,1,pending,,,
BTC,2022-10-06,2,hit,1.6650621e+18,,1.665063e+18
BTC,2022-10-07,1,pending,,,
BTC,2022-10-07,2,hit,1.6651485e+18,,1.6651494e+18
BTC,2022-10-10,1,pending,,,
BTC,2022-10-10,2,hit,1.6654104e+18,,1.6654131e+18
BTC,2022-10-11,1,pending,,,
BTC,2022-10-11,2,hit,1.6654941e+18,,1.6654968e+18
BTC,2022-10-12,1,pending,,,
BTC,2022-10-12,2,armed,1.6655805e+18,,
BTC,2022-10-13,1,hit,1.665675e+18,,1.6656795e+18
BTC,2022-10-13,2,hit,1.6656669e+18,,1.6656678e+18
BTC,2022-10-14,1,hit,1.6657569e+18,,1.6657623e+18
BTC,2022-10-14,2,failed,1.6657533e+18,1.6657569e+18,
BTC,2022-10-17,1,hit,1.6660125e+18,,1.6660134e+18
BTC,2022-10-17,2,pending,,,
BTC,2022-10-18,1,hit,1.6661016e+18,,1.6661043e+18
BTC,2022-10-18,2,failed,1.6660998e+18,1.6661034e+18,
BTC,2022-10-19,1,hit,1.6661853e+18,,1.666188e+18
BTC,2022-10-19,2,pending,,,
BTC,2022-10-20,1,failed,1.6662762e+18,1.6662825e+18,
BTC,2022-10-20,2,failed,1.6662717e+18,1.6662762e+18,
BTC,2022-10-21,1,hit,1.6663608e+18,,1.666368e+18
BTC,2022-10-24,1,hit,1.6666173e+18,,1.6666218e+18
BTC,2022-10-24,2,pending,,,
BTC,2022-10-25,1,pending,,,
BTC,2022-10-25,2,hit,1.6667037e+18,,1.6667046e+18
BTC,2022-10-26,1,failed,1.6667901e+18,1.6667937e+18,
BTC,2022-10-26,2,hit,1.6667946e+18,,1.6667955e+18
BTC,2022-10-27,1,pending,,,
BTC,2022-10-27,2,failed,1.6668792e+18,1.6668801e+18,
BTC,2022-10-28,1,pending,,,
BTC,2022-10-31,1,hit,1.667223e+18,,1.6672248e+18
BTC,2022-10-31,2,pending,,,
BTC,2022-11-01,1,pending,,,
BTC,2022-11-01,2,hit,1.6673103e+18,,1.6673112e+18
BTC,2022-11-02,1,armed,1.6674084e+18,,
