coin,date,lean_dir,lean_strength,lean_basis
BTC,2022-01-14,up,slight_lean,A6b
BTC,2022-01-17,down,slight_lean,A6b
BTC,2022-01-18,down,slight_lean,A6b
BTC,2022-01-19,up,slight_lean,A6b
BTC,2022-01-20,up,slight_lean,A6b
BTC,2022-01-21,up,slight_lean,A6b
BTC,2022-01-24,up,slight_lean,A6b
BTC,2022-01-25,down,slight_lean,A6b
BTC,2022-01-26,up,slight_lean,A6b
BTC,2022-01-27,down,slight_lean,A6b
BTC,2022-01-28,up,slight_lean,A6b
BTC,2022-01-31,down,slight_lean,A6b
BTC,2022-02-01,down,slight_lean,A6b
BTC,2022-02-02,down,slight_lean,A6b
BTC,2022-02-03,down,slight_lean,A6b
BTC,2022-02-04,up,slight_lean,A6b
BTC,2022-02-07,down,slight_lean,A6b
BTC,2022-02-08,up,slight_lean,A6b
BTC,2022-02-09,down,slight_lean,A6b
BTC,2022-02-10,down,slight_lean,A6b
BTC,2022-02-11,up,slight_lean,A6b
BTC,2022-02-14,up,slight_lean,A6b
BTC,2022-02-15,down,slight_lean,A6b
BTC,2022-02-16,down,slight_lean,A6b
BTC,2022-02-17,up,slight_lean,A6b
BTC,2022-02-18,up,slight_lean,A6b
BTC,2022-02-21,up,slight_lean,A6b
BTC,2022-02-22,up,slight_lean,A6b
BTC,2022-02-23,up,slight_lean,A6b
BTC,2022-02-24,up,slight_lean,A6b
BTC,2022-02-25,down,slight_lean,A6b
BTC,2022-02-28,down,slight_lean,A6b
BTC,2022-03-01,down,slight_lean,A6b
BTC,2022-03-02,up,slight_lean,A6b
BTC,2022-03-03,down,slight_lean,A6b
BTC,2022-03-04,up,slight_lean,A6b
BTC,2022-03-07,up,slight_lean,A6b
BTC,2022-03-08,up,slight_lean,A6b
BTC,2022-03-09,up,slight_lean,A6b
BTC,2022-03-10,down,slight_lean,A6b
BTC,2022-03-11,up,slight_lean,A6b
BTC,2022-03-14,up,slight_lean,A6b
BTC,2022-03-15,up,slight_lean,A6b
BTC,2022-03-16,down,slight_lean,A6b
BTC,2022-03-17,down,slight_lean,A6b
BTC,2022-03-18,down,slight_lean,A6b
BTC,2022-03-21,down,slight_lean,A6b
BTC,2022-03-22,up,slight_lean,A6b
BTC,2022-03-23,down,slight_lean,A6b
BTC,2022-03-24,up,slight_lean,A6b
